,data,views
128,2012-07-17 00:00:00.000000,1
129,2012-07-28 00:00:00.000000,1
130,2012-08-05 00:00:00.000000,1
131,2012-08-15 00:00:00.000000,1
132,2012-09-01 00:00:00.000000,1
133,2012-09-15 00:00:00.000000,1
134,2012-10-10 00:00:00.000000,1
135,2012-10-11 00:00:00.000000,1
136,2012-10-12 00:00:00.000000,1
137,2012-11-02 00:00:00.000000,2
138,2012-11-17 00:00:00.000000,1
139,2012-11-27 00:00:00.000000,1
140,2012-12-13 00:00:00.000000,1
141,2012-12-22 00:00:00.000000,2
142,2012-12-28 00:00:00.000000,1
143,2013-01-15 00:00:00.000000,1
144,2013-01-20 00:00:00.000000,1
145,2013-02-16 00:00:00.000000,1
146,2013-03-01 00:00:00.000000,1
147,2013-03-29 00:00:00.000000,1
148,2013-03-30 00:00:00.000000,2
149,2013-04-22 00:00:00.000000,1
150,2013-04-25 00:00:00.000000,1
151,2013-05-11 00:00:00.000000,1
152,2013-06-17 00:00:00.000000,1
153,2013-07-19 00:00:00.000000,1
154,2013-08-08 00:00:00.000000,1
155,2013-08-14 00:00:00.000000,1
156,2013-08-29 00:00:00.000000,1
157,2013-08-31 00:00:00.000000,1
158,2013-09-13 00:00:00.000000,1
159,2013-09-28 00:00:00.000000,1
160,2013-10-09 00:00:00.000000,1
161,2013-11-27 00:00:00.000000,1
162,2013-12-10 00:00:00.000000,1
163,2013-12-14 00:00:00.000000,1
164,2013-12-30 00:00:00.000000,1
165,2014-01-04 00:00:00.000000,1
166,2014-01-09 00:00:00.000000,1
167,2014-01-18 00:00:00.000000,1
168,2014-01-23 00:00:00.000000,1
169,2014-02-25 00:00:00.000000,1
170,2014-03-02 00:00:00.000000,1
171,2014-04-03 00:00:00.000000,1
172,2014-04-10 00:00:00.000000,2
173,2014-04-11 00:00:00.000000,1
174,2014-04-18 00:00:00.000000,1
175,2014-04-19 00:00:00.000000,1
176,2014-04-23 00:00:00.000000,1
177,2014-04-24 00:00:00.000000,1
178,2014-05-15 00:00:00.000000,1
179,2014-05-23 00:00:00.000000,1
180,2014-05-25 00:00:00.000000,1
181,2014-06-04 00:00:00.000000,1
182,2014-07-02 00:00:00.000000,1
183,2014-08-10 00:00:00.000000,1
184,2014-08-15 00:00:00.000000,1
185,2014-08-17 00:00:00.000000,1
186,2014-08-27 00:00:00.000000,1
187,2014-09-08 00:00:00.000000,1
188,2014-09-10 00:00:00.000000,1
189,2014-09-12 00:00:00.000000,1
190,2014-09-15 00:00:00.000000,1
191,2014-09-18 00:00:00.000000,1
192,2014-09-20 00:00:00.000000,1
193,2014-09-29 00:00:00.000000,2
194,2014-10-29 00:00:00.000000,1
195,2014-11-15 00:00:00.000000,1
196,2014-11-27 00:00:00.000000,1
197,2014-12-08 00:00:00.000000,1
198,2014-12-26 00:00:00.000000,1
199,2015-01-06 00:00:00.000000,2
200,2015-01-07 00:00:00.000000,1
201,2015-01-19 00:00:00.000000,1
202,2015-01-26 00:00:00.000000,1
203,2015-02-11 00:00:00.000000,2
204,2015-02-18 00:00:00.000000,1
205,2015-03-06 00:00:00.000000,1
206,2015-03-13 00:00:00.000000,1
207,2015-03-14 00:00:00.000000,1
208,2015-03-20 00:00:00.000000,1
209,2015-04-03 00:00:00.000000,1
210,2015-04-28 00:00:00.000000,1
211,2015-05-02 00:00:00.000000,1
212,2015-05-17 00:00:00.000000,1
213,2015-07-03 00:00:00.000000,1
214,2015-07-08 00:00:00.000000,1
215,2015-07-24 00:00:00.000000,1
216,2015-08-29 00:00:00.000000,1
217,2015-09-04 00:00:00.000000,1
218,2015-09-05 00:00:00.000000,1
219,2015-09-21 00:00:00.000000,1
220,2015-09-30 00:00:00.000000,1
221,2015-10-15 00:00:00.000000,1
222,2015-11-07 00:00:00.000000,5
223,2015-11-15 00:00:00.000000,2
224,2015-11-21 00:00:00.000000,1
225,2015-11-24 00:00:00.000000,1
226,2015-12-08 00:00:00.000000,1
227,2015-12-13 00:00:00.000000,1
228,2016-01-01 00:00:00.000000,1
229,2016-01-02 00:00:00.000000,1
230,2016-01-13 00:00:00.000000,1
231,2016-01-21 00:00:00.000000,1
232,2016-01-27 00:00:00.000000,1
233,2016-02-13 00:00:00.000000,1
234,2016-02-19 00:00:00.000000,1
235,2016-02-29 00:00:00.000000,1
236,2016-03-02 00:00:00.000000,2
237,2016-03-15 00:00:00.000000,1
238,2016-03-30 00:00:00.000000,1
239,2016-04-23 00:00:00.000000,2
240,2016-05-27 00:00:00.000000,1
241,2016-05-30 00:00:00.000000,1
242,2016-06-02 00:00:00.000000,1
243,2016-06-12 00:00:00.000000,1
244,2016-06-13 00:00:00.000000,2
245,2016-06-27 00:00:00.000000,1
246,2016-06-29 00:00:00.000000,1
247,2016-07-02 00:00:00.000000,1
248,2016-07-19 00:00:00.000000,1
249,2016-07-21 00:00:00.000000,1
250,2016-07-28 00:00:00.000000,1
251,2016-07-31 00:00:00.000000,1
252,2016-08-02 00:00:00.000000,1
253,2016-08-12 00:00:00.000000,1
254,2016-10-01 00:00:00.000000,1
255,2016-10-21 00:00:00.000000,1
256,2016-11-10 00:00:00.000000,2
257,2016-11-11 00:00:00.000000,1
258,2016-12-19 00:00:00.000000,1
259,2016-12-31 00:00:00.000000,2
260,2017-01-15 00:00:00.000000,1
261,2017-01-29 00:00:00.000000,1
262,2017-02-03 00:00:00.000000,1
263,2017-02-21 00:00:00.000000,1
264,2017-02-28 00:00:00.000000,1
265,2017-03-09 00:00:00.000000,1
266,2017-03-14 00:00:00.000000,1
267,2017-03-15 00:00:00.000000,2
268,2017-03-19 00:00:00.000000,1
269,2017-04-10 00:00:00.000000,1
270,2017-04-13 00:00:00.000000,1
271,2017-04-14 00:00:00.000000,1
272,2017-05-03 00:00:00.000000,1
273,2017-05-04 00:00:00.000000,1
274,2017-05-06 00:00:00.000000,1
275,2017-05-19 00:00:00.000000,1
276,2017-05-29 00:00:00.000000,1
277,2017-06-07 00:00:00.000000,1
278,2017-06-15 00:00:00.000000,2
279,2017-07-06 00:00:00.000000,1
280,2017-07-26 00:00:00.000000,1
281,2017-08-04 00:00:00.000000,1
282,2017-08-14 00:00:00.000000,1
